TEAM,SEASON,FORMATION_STATUS,MATCHES_PLAYED,WIN_RATE
Udinese,2022,SAME,29,0.31
Venezia,2022,CHANGED,27,0.11
Venezia,2022,SAME,10,0.30
Atalanta,2023,SAME,17,0.65
Atalanta,2023,CHANGED,21,0.38
Bologna,2023,CHANGED,15,0.47
Bologna,2023,SAME,23,0.30
Cremonese,2023,SAME,17,0.06
Cremonese,2023,CHANGED,20,0.20
Empoli,2023,SAME,31,0.19
Empoli,2023,CHANGED,7,0.57
Fiorentina,2023,SAME,24,0.38
Fiorentina,2023,CHANGED,14,0.43
Hellas Verona,2023,CHANGED,18,0.28
Hellas Verona,2023,SAME,21,0.14
Internazionale,2023,CHANGED,2,0.50
Internazionale,2023,SAME,36,0.61
Juventus,2023,CHANGED,25,0.56
Juventus,2023,SAME,13,0.62
Lazio,2023,CHANGED,4,0.75
Lazio,2023,SAME,34,0.56
Lecce,2023,CHANGED,8,0.00
Lecce,2023,SAME,29,0.28
Milan,2023,CHANGED,7,0.71
Milan,2023,SAME,31,0.48
Monza,2023,SAME,28,0.36
Monza,2023,CHANGED,9,0.44
Napoli,2023,CHANGED,5,0.60
Napoli,2023,SAME,33,0.76
Roma,2023,CHANGED,16,0.44
Roma,2023,SAME,22,0.50
Salernitana,2023,CHANGED,8,0.25
Salernitana,2023,SAME,30,0.23
Sampdoria,2023,CHANGED,17,0.06
Sampdoria,2023,SAME,21,0.10
Sassuolo,2023,CHANGED,2,0.50
Sassuolo,2023,SAME,36,0.31
Spezia,2023,CHANGED,12,0.25
Spezia,2023,SAME,27,0.11
Torino,2023,SAME,32,0.38
Torino,2023,CHANGED,6,0.33
Udinese,2023,SAME,32,0.28
Udinese,2023,CHANGED,6,0.33
Atalanta,2024,CHANGED,18,0.67
Atalanta,2024,SAME,20,0.45
Bologna,2024,SAME,25,0.40
Bologna,2024,CHANGED,13,0.62
Cagliari,2024,SAME,7,0.29
Cagliari,2024,CHANGED,31,0.19
Empoli,2024,SAME,24,0.33
Empoli,2024,CHANGED,14,0.07
Fiorentina,2024,CHANGED,1,1.00
Fiorentina,2024,SAME,37,0.43
Frosinone,2024,CHANGED,23,0.22
Frosinone,2024,SAME,14,0.21
Genoa,2024,SAME,25,0.28
Genoa,2024,CHANGED,13,0.38
Hellas Verona,2024,SAME,22,0.23
Hellas Verona,2024,CHANGED,16,0.25
Internazionale,2024,SAME,36,0.75
Internazionale,2024,CHANGED,2,1.00
Juventus,2024,CHANGED,11,0.64
Juventus,2024,SAME,27,0.44
Lazio,2024,SAME,36,0.47
Lazio,2024,CHANGED,2,0.50
Lecce,2024,CHANGED,18,0.28
Lecce,2024,SAME,20,0.15
Milan,2024,SAME,22,0.68
Milan,2024,CHANGED,16,0.44
Monza,2024,SAME,23,0.30
Monza,2024,CHANGED,15,0.27
Napoli,2024,CHANGED,6,0.33
Napoli,2024,SAME,32,0.34
Roma,2024,CHANGED,22,0.55
Roma,2024,SAME,16,0.38
Salernitana,2024,SAME,19,0.00
Salernitana,2024,CHANGED,19,0.11
Sassuolo,2024,CHANGED,12,0.25
Sassuolo,2024,SAME,26,0.15
Torino,2024,CHANGED,14,0.57
Torino,2024,SAME,24,0.21
Udinese,2024,CHANGED,11,0.27
Udinese,2024,SAME,27,0.11
Atalanta,2025,SAME,25,0.56
Atalanta,2025,CHANGED,13,0.62
Bologna,2025,CHANGED,8,0.25
Bologna,2025,SAME,30,0.47
Cagliari,2025,CHANGED,25,0.24
Cagliari,2025,SAME,13,0.23
Como,2025,SAME,23,0.30
Como,2025,CHANGED,14,0.43
Empoli,2025,CHANGED,15,0.07
Empoli,2025,SAME,23,0.22
Fiorentina,2025,SAME,19,0.47
Fiorentina,2025,CHANGED,18,0.50
Genoa,2025,SAME,20,0.35
Genoa,2025,CHANGED,18,0.17
Hellas Verona,2025,CHANGED,23,0.26
Hellas Verona,2025,SAME,15,0.27
Internazionale,2025,CHANGED,7,0.57
Internazionale,2025,SAME,30,0.67
Juventus,2025,SAME,26,0.46
Juventus,2025,CHANGED,12,0.50
Lazio,2025,CHANGED,5,0.80
Lazio,2025,SAME,33,0.42
Lecce,2025,SAME,24,0.21
Lecce,2025,CHANGED,14,0.21
Milan,2025,CHANGED,12,0.67
Milan,2025,SAME,26,0.38
Monza,2025,CHANGED,8,0.13
Monza,2025,SAME,30,0.07
Napoli,2025,SAME,25,0.72
Napoli,2025,CHANGED,13,0.46
Parma,2025,SAME,24,0.21
Parma,2025,CHANGED,14,0.14
Roma,2025,CHANGED,23,0.52
Roma,2025,SAME,15,0.53
Torino,2025,SAME,25,0.32
Torino,2025,CHANGED,13,0.15
Udinese,2025,CHANGED,20,0.20
Udinese,2025,SAME,18,0.44
Venezia,2025,CHANGED,14,0.07
Venezia,2025,SAME,24,0.17
